::ffff:192.168.115.253 - - [24/Sep/2024:13:57:40 +0000] "GET / HTTP/1.1" 200 - "-" "Java/1.8.0_212"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:41 +0000] "GET / HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:41 +0000] "GET / HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:41 +0000] "GET / HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:41 +0000] "GET /api HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:41 +0000] "GET /conformance HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:42 +0000] "GET /collections HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:42 +0000] "GET /collections/points/items?limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:43 +0000] "GET /collections/points HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:43 +0000] "GET /collections/points/items?limit=unlimited HTTP/1.1" 400 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:43 +0000] "GET /collections/points/items?unknownQueryParameter16770=1&limit=10 HTTP/1.1" 400 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:43 +0000] "GET /collections/points/items?bbox=-165.7710000%2C-84.3333000%2C175.5615230%2C85.7667000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:44 +0000] "GET /collections/points/items?bbox=-1.5000000%2C50.0000000%2C1.5000000%2C53.0000000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:45 +0000] "GET /collections/points/items?bbox=-80.0000000%2C-5.0000000%2C-70.0000000%2C5.0000000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:45 +0000] "GET /collections/points/items?bbox=177.0000000%2C65.0000000%2C-177.0000000%2C70.0000000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
